item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
1,Akzente,Unwante,2.71,0.5128613839913648,7,2/3,5,N,0,2.6,6,216,216,15162,1289,823,1796,696,21421,18486,21748,0,-5,0.6500000000000001,176,176,0,"489,115,-971,0,0,0,0"
2,Drücker,quokker,3.01,1.0232929922807537,7,2/3,5,N,0,2.95,4,63,1,136,769,1786,1455,1782,0,-1,0.3500000000000001,-16,-6,63,0,0,0,0
3,Erwachsener,Exzingsener,3.95,8.91250938133746,11,2/3,9,N,0,4.95,8,46,46,16036,820,556,160,9,1615,14745,2118,2820,8684,8926,0,-4,1.95,"-123,-123,0,-19,127,-102,-79,0,0,0,0,0,0"
4,Exorzisten,ucinzisten,2.64,0.4365158322401661,10,2/3,8,N,0,3.9,8,79,79,16036,20,2,683,225,542,13123,2651,10864,21646,22249,0,0,0.44999999999999973,"-253,-37,0,-178,-23,-179,-220,0,0,0,0,0,0"
5,Fabel,Pafel,2.6,0.3981071705534973,5,2/3,3,N,1,1.95,4,405,132,1648,799,1281,362,616,0,-4,0.30000000000000004,-96,5,0,-148,240,0,0
6,Faulpelze,peigpelze,2.74,0.5495408738576248,9,2/3,7,N,0,3.9,6,679,39,49,9,628,2743,233,1826,18486,21748,0,-3,0.9499999999999996,5,19,8,"-70,0,0,0,0,0,0"
7,Figuren,Gowuren,4.38,23.9883291901949,7,2/3,5,N,0,2.95,6,1035,51,1850,8,22,5501,5947,5896,18662,19387,0,0,0.4500000000000002,361,-81,266,"-21,-41,0,0,0,0,0"
8,Filigrane,Gisiblase,1.9,0.07943282347242814,9,2/3,7,N,0,3.8,8,572,8,2373,2314,1298,7936,209,74,5183,2193,3041,17136,19158,0,-3,0.5499999999999998,"91,-102,0,84,-188,0,-107,-148,0,75,221,0,0"
9,Geschicke,neschonke,2.07,0.11748975549395292,9,2/3,7,N,0,2.9,6,1700,187,8888,859,113,184,654,3087,18486,21748,0,-1,0.3500000000000001,665,-615,0,"0,-363,-130,-762,0,0,0"
10,Gondel,pändel,3.11,1.2882495516931336,6,2/3,4,N,0,2,4,401,11,309,524,1475,362,616,0,-1,0.1499999999999999,-67,-22,66,0,0,0,0
11,Grabens,Phabert,1.9,0.07943282347242814,7,2/3,5,N,0,2.75,4,32,10,1648,947,1041,297,773,0,-3,1,-119,-29,0,0,0,-132,41
12,Jugendfreund,Kugendfrophs,2.55,0.3548133892335753,12,2/3,10,N,0,5.65,6,29,29,15162,1911,3544,160,4,15,1,4,0,-2,1.8000000000000005,2,2,0,"0,0,0,0,2,-2,1"
13,Kanaille,Kahästle,2.44,0.2754228703338166,8,2/3,6,N,0,3.3,6,1081,348,3041,1419,521,1,18,4393,18486,21748,0,-1,0.7999999999999998,0,0,0,"-43,0,-17,0,0,0,0"
14,Kanäle,Gamäse,3.59,3.890451449942805,6,2/3,4,N,0,2.7,6,1035,100,3041,1427,276,1917,2612,4516,18486,21748,0,-2,0.9000000000000001,-46,-248,0,"-35,29,0,-116,123,0,0"
15,Kollegium,Toffegizu,2.67,0.4677351412871981,9,2/3,7,N,0,4.85,8,997,193,119,479,1339,12668,3776,580,13123,1,1,1543,19158,0,-1,1.7499999999999996,"-42,-190,-168,-138,-111,0,0,0,0,-48,-49,0,0"
16,Konstitution,Rabphimution,2.83,0.6760829753919819,12,2/3,10,N,0,5.5,10,459,68,639,2,50,4209,69,96,2983,2615,2790,8571,640,298,296,11464,"0,0,2.25,49,-139,14,-75,-194,0,-111,-169,0,0,0,0,0,0,0,0"
17,Kontoauszug,pontoaantut,2.29,0.19498445997580455,11,2/3,9,N,0,5,8,981,259,1097,738,524,4246,2028,10,3,1,1,1543,19158,0,-2,1.0499999999999998,"-58,-124,0,0,0,0,0,-77,-31,0,-18,0,0"
18,Kreuzzug,Kräppzug,3.21,1.6218100973589298,8,2/3,6,N,0,3.95,4,228,28,5,1,26,2243,8061,0,-2,1.4000000000000004,0,-11,-10,0,0,0,0
19,Lobpreisung,Lobgliegung,1.9,0.07943282347242814,11,2/3,9,N,0,4.75,6,961,99,119,27,41,4177,64,92,2499,21748,0,0,1.4500000000000002,0,0,0,"-17,-28,-25,29,31,0,0"
20,Maulwurf,Maumburg,3.68,4.786300923226385,8,2/3,6,N,0,3.5,4,744,18,43,1,4,2243,8061,0,-2,0.8500000000000001,0,0,5,0,-6,0,0
21,Media,Tebio,4.3,19.952623149688787,5,2/3,3,N,0,2.6,6,1193,141,8888,2180,751,7174,1531,148,80,21748,0,-1,0.3500000000000001,-24,-91,0,"128,17,0,0,-94,-48,0"
22,Miene,Tieme,3.29,1.9498445997580456,5,2/3,3,N,5,1.75,4,702,45,841,696,1166,5346,8061,0,-2,0.19999999999999996,-42,31,0,18,30,0,0
23,Modepuppe,kidefutwe,2.2,0.15848931924611143,9,2/3,7,N,0,4.25,8,1678,94,2373,2781,3049,12668,2,5,3805,102,93,17136,19158,0,-1,0.2999999999999998,"454,-137,-417,0,0,0,-1,2,0,-89,-192,0,0"
24,Mühle,Märle,3.55,3.5481338923357533,5,2/3,3,N,3,1.85,4,744,60,140,248,1845,5346,8061,0,-5,0.3500000000000001,0,11,27,38,0,0,0
25,Nachmittagen,Pachtaftagen,2.07,0.11748975549395292,12,2/3,10,N,0,4.05,8,575,255,837,211,674,503,665,518,5183,8676,9611,21646,22249,0,-1,0.5,"-91,-14,0,131,48,167,-157,0,0,0,0,0,0"
26,Parzellen,ponzellen,2.07,0.11748975549395292,9,2/3,7,N,0,2.95,6,679,199,696,295,708,2743,1514,4393,18662,19387,0,-1,0.5500000000000003,100,-47,-62,"-111,0,0,0,0,0,0"
27,Pocken,dükken,3.07,1.174897554939529,6,2/3,4,N,1,1.95,4,450,72,73,769,1786,5293,5859,0,0,0,45,-20,-63,0,0,0,0
28,Rasters,Hasteln,2.37,0.23442288153199228,7,2/3,5,N,4,1.8,4,734,178,1648,1001,1875,642,642,0,-2,0.19999999999999996,-125,39,0,0,0,-69,-214
29,Rechtswissenschaft,Rechtsfissenstrent,2.07,0.11748975549395292,18,2/3,16,N,0,8.2,8,1082,362,98,5,466,163,734,1615,2860,4,4,62,83,0,0,1.8999999999999997,"0,0,0,-12,-52,0,0,0,0,-46,-53,-25,-30"
30,Röntgen,Räckgen,3.53,3.388441561392024,7,2/3,5,N,0,2.55,4,859,46,12,7,1663,5293,5859,0,-2,0.44999999999999973,0,10,5,-10,0,0,0
31,Satz,zatz,4.42,26.302679918953817,4,2/3,2,N,2,1.9,2,79,16,7,21,0,-3,0.25,-4,-2,0,0,NA,NA,NA,NA,NA,NA
32,Schwiegertochter,schreigerlächter,3.53,3.388441561392024,16,2/3,14,N,0,5.75,8,70,5,1821,3174,6317,10364,1119,199,144,1049,17878,8684,8926,0,-1,1.6500000000000004,"-102,-12,416,0,0,0,-233,-16,99,0,0,0,0"
33,Skonto,Knolto,2.07,0.11748975549395292,6,2/3,4,N,0,2.85,4,95,20,278,270,159,70,8061,0,-3,0.4500000000000002,45,14,35,-50,0,0,0
34,Sorge,Horke,5.24,173.78008287493762,5,2/3,3,N,8,1.6,4,734,128,754,220,1786,5346,8061,0,1,0.05000000000000004,-3,46,0,3,123,0,0
35,Sowjetbürger,fopfeträrger,2.07,0.11748975549395292,12,2/3,10,N,0,5.45,8,1263,275,2790,15,16,301,12,163,156,95,9611,8684,8926,0,-2,1.25,"-27,-1,0,-5,-4,0,-28,25,-29,0,0,0,0"
36,Staubwolke,Steibholne,2.37,0.23442288153199228,10,2/3,8,N,0,3.95,6,988,115,127,248,378,603,16,3137,18486,21748,0,-1,0.4500000000000002,0,56,-2,"2,114,0,-86,50,0,0"
37,Straßenmädchen,spraxenwäschen,2.67,0.4677351412871981,14,2/3,12,N,0,5.7,8,85,53,4654,198,26,6185,258,167,27,6,3671,21646,22249,0,-1,1,"-31,-14,0,44,-97,0,102,-119,-1,-6,0,0,0"
38,Symptom,Sönttom,3.85,7.07945784384138,7,2/3,5,N,0,3.75,4,737,9,7,6,159,22,696,0,-2,0.5499999999999998,0,-10,5,-16,0,0,0
39,Sägewerk,Vägevenk,2.64,0.4365158322401661,8,2/3,6,N,0,3.9,6,1269,4,664,1911,3544,10725,277,194,7,43,0,-2,1.4,8,-32,0,"0,0,0,31,9,-15,3"
40,Tonabnehmer,ponaobeumer,1.9,0.07943282347242814,11,2/3,9,N,0,5.45,8,981,259,1097,675,1666,2,2,1129,489,89,1816,8684,8926,0,-2,1.6,"-16,66,0,0,0,-223,-76,-43,209,-107,0,0,0"
41,Touristen,Mexristen,3.81,6.456542290346556,9,2/3,7,N,0,2.95,6,1217,232,106,3,1048,7174,2053,7293,18662,19387,0,0,0.3500000000000001,24,-19,20,"-44,0,0,0,0,0,0"
42,Treter,bretes,2.5,0.31622776601683794,6,2/3,4,N,1,1.95,4,285,33,3281,1655,6538,1415,1998,0,-2,0.19999999999999996,-79,-12,0,0,0,-40,216
43,Ungetüme,Abgegöbe,1.9,0.07943282347242814,8,2/3,6,N,0,3.55,8,265,265,16036,3174,6317,12668,3776,8,635,1326,1455,17136,19158,0,-5,1.4,"-163,-163,0,0,0,0,215,-79,1,377,-361,0,0"
44,Vereinfachung,Verausgapunkt,2.2,0.15848931924611143,13,2/3,11,N,0,5.05,8,1041,590,6215,1114,698,512,96,306,5183,2,2,1543,19158,0,0,1.65,"0,0,0,0,107,1,-214,-194,0,-33,-33,0,0"
45,Vertragsabschlüssen,Rerstiktabschlössen,1.9,0.07943282347242814,19,2/3,17,N,0,8.2,10,459,252,2220,86,244,10,5,1360,110,6,4,17,339,1031,11054,11464,"0,-1,2.3499999999999996,-34,-56,0,-39,-15,-53,-5,0,0,0,-12,-3,0,0,0,0"
46,Vollbesitz,Vestbesice,2.07,0.11748975549395292,10,2/3,8,N,0,4.2,6,1269,616,396,59,2035,10725,2612,184,1,1,0,-1,0.6500000000000004,0,89,12,"30,0,0,0,0,-8,-44"
47,Vorbereitungen,Monbetierungen,3.88,7.585775750291836,14,2/3,12,N,0,3.95,10,458,109,625,96,3280,7788,1993,67,583,252,261,1507,4039,4308,11054,11464,"0,0,0.5,-35,10,-184,-232,0,0,-67,-176,-245,221,187,0,0,0,0,0"
48,Wasserbetten,dössermatten,2.71,0.5128613839913648,12,2/3,10,N,0,4.5,8,1178,5,25,803,1998,10364,715,676,242,681,17878,21646,22249,0,-1,1.65,"-167,-436,-465,0,0,0,-155,-453,-145,0,0,0,0"
49,Wäscheklammer,gäschephirmer,2.29,0.19498445997580455,13,2/3,11,N,0,5.65,8,1572,5,679,647,439,12668,173,46,131,246,1816,8684,8926,0,-1,1.1500000000000004,"227,-39,0,0,0,0,45,-36,-248,-232,0,0,0"
50,Würstchen,Bünktchen,4.02,10.471285480508984,9,2/3,7,N,1,2.75,4,791,54,4,2,1284,5293,5859,0,-2,0.5499999999999998,-12,15,-2,-2,0,0,0
51,Zinnsoldat,Perrsoldat,2.2,0.15848931924611143,10,2/3,8,N,0,4.6,6,579,95,65,10,283,603,418,91,135,9892,0,0,0.39999999999999947,16,-7,-16,"5,0,0,0,0,0,0"
52,absichtlichen,anhangslichen,2.2,0.15848931924611143,13,2/3,11,N,0,3.6,8,17115,5537,2463,287,949,22,3,5260,13123,3535,3671,21646,22249,0,-4,1.35,"0,0,495,122,-349,-27,-89,0,0,0,0,0,0"
53,addierst,aifierst,2.29,0.19498445997580455,8,2/3,6,N,1,1.95,4,5655,1798,79,2,85,260,683,0,-2,0.19999999999999996,0,0,24,-28,-11,0,0
54,allwissend,artkossend,2.74,0.5495408738576248,10,2/3,8,N,0,3.95,6,22605,7379,86,43,599,248,1709,4516,4228,4375,0,-1,1.1500000000000004,0,0,-43,"18,-34,-49,0,0,0,0"
55,angegriffen,angeträrken,4.56,36.3078054770101,11,2/3,9,N,0,3.55,8,17115,5537,2463,958,6317,12668,343,117,156,240,1485,21646,22249,0,-2,1.6999999999999995,"0,0,0,0,0,0,27,51,13,25,113,0,0"
56,angezogen,abbekägen,4.34,21.87761623949552,9,2/3,7,N,1,2.75,8,17115,5537,1968,151,5176,12668,977,263,1261,8676,9611,21646,22249,0,-3,1.05,"0,0,-495,-807,-1141,0,63,193,-1397,0,0,0,0"
57,ansehen,abbeßen,4.88,75.85775750291836,7,2/3,5,N,1,1.95,6,22605,7379,3888,239,2035,10725,1262,1238,18662,19387,0,-9,0.55,0,0,373,"-273,465,0,-185,-28,0,0"
58,antaten,abhiten,2.92,0.8317637711026709,7,2/3,5,N,0,2,6,22605,7379,3888,248,181,7174,4769,21421,18662,19387,0,-10,0.6000000000000001,0,0,373,"-362,-525,1312,0,0,0,0"
59,armes,alnes,4.04,10.964781961431852,5,2/3,3,N,2,1.9,4,5655,1798,457,17,1136,1415,1998,0,-7,0.45,0,0,-86,-219,-30,0,0
60,auf,auz,6.75,5623.413251903491,3,2/3,1,N,4,1.8,2,90,5,2,6,0,-3,0.25,0,0,-3,-21,NA,NA,NA,NA,NA,NA
61,aufeinanderprallen,auseinanterchinnen,2.07,0.11748975549395292,18,2/3,16,N,0,5.5,12,3346,422,178,119,314,309,475,752,333,214,371,952,7,8,34,27,"629,4012,4215,0,-4,3.15,0,0,15,26,0,0,0,0,0,-189,-145,0,-11,-2,-71,-189,158,0,0"
62,auffälliges,aushürliges,2.96,0.9120108393559097,11,2/3,9,N,0,3.8,8,17115,3184,1875,82,35,228,1119,5260,13123,8676,9611,9822,10041,0,-5,2.15,"0,0,494,-397,-381,-14,105,0,0,0,0,0,0"
63,auflasen,aussaden,1.9,0.07943282347242814,8,2/3,6,N,4,1.8,6,22605,6821,3900,786,1057,5862,2030,4375,18662,19387,0,-6,0.40000000000000013,0,0,755,"552,87,0,-582,-141,0,0"
64,aufschrecken,ausschwikken,2.37,0.23442288153199228,12,2/3,10,N,0,2.75,6,22605,6821,3900,69,177,314,1416,3087,18662,19387,0,-1,0.20000000000000015,0,0,755,"29,123,-244,0,0,0,0"
65,aufspielt,aufgleilt,2.6,0.3981071705534973,9,2/3,7,N,2,2.05,4,5655,1657,816,11,24,39,576,0,-4,0.44999999999999973,0,0,0,-2,-51,-39,0
66,aufwendig,aufnendöl,2.5,0.31622776601683794,9,2/3,7,N,0,3.75,6,22605,6821,3145,35,842,2767,2052,1,12,617,0,-2,1.6,0,0,0,"-151,-148,0,0,-262,-979,-512"
67,ausdenkt,aufdergt,2.71,0.5128613839913648,8,2/3,6,N,0,2.6,4,5655,1657,816,4,1475,2,22,0,-4,0.9000000000000001,0,0,-173,-11,0,-32,-93
68,baufälliges,haukirliges,2.29,0.19498445997580455,11,2/3,9,N,0,4.25,8,3251,41,892,912,156,116,1119,5260,13123,8676,9611,9822,10041,0,-4,2.35,"-85,15,0,-365,-260,-126,105,0,0,0,0,0,0"
69,befolgen,benäugen,4,10,8,2/3,6,N,1,2.1,6,4728,3808,8888,1462,247,655,84,8586,18662,19387,0,-4,0.4500000000000002,0,0,0,"157,-46,52,-23,0,0,0"
70,behinderten,vezönlerten,3.21,1.6218100973589298,11,2/3,9,N,0,3.8,8,4180,2822,8925,820,17,16,673,1337,2699,4983,17878,21646,22249,0,-2,1.9,"844,182,0,-406,-188,-667,-701,-845,0,0,0,0,0"
71,beliebteren,beseimgeren,1.9,0.07943282347242814,11,2/3,9,N,0,3.6,8,3336,2640,8925,2314,133,83,15,4129,14745,12100,12160,21646,22249,0,-5,1.75,"0,0,0,84,-82,5,-96,-161,0,0,0,0,0"
72,berauschten,begeichsten,1.9,0.07943282347242814,11,2/3,9,N,0,2.95,6,4728,3808,8888,1911,61,5,8,21421,18662,19387,0,-6,1.35,0,0,0,"-283,-108,-40,-158,0,0,0"
73,beschämen,besprofen,2.85,0.707945784384138,9,2/3,7,N,0,2.85,6,4728,3808,8888,181,14,2934,1538,3092,18662,19387,0,-5,1.2000000000000002,0,0,0,"-678,-176,1017,276,457,0,0"
